id,status,severity,scope,summary,evidence_or_next_action
P16-ANNOTATION-FORMAT,CLOSED,high,annotation,"Production key-part text is exactly displayIndex(x,y) with no old name or duplicate layer","logs/p16/annotation/p16_label_test.log"
P16-ANNOTATION-COORDINATES,CLOSED,high,annotation,"Text coordinates equal original point.x/point.y; layout displacement does not alter text and source records remain unchanged","logs/p16/annotation/p16_coordinate_label_alignment.csv"
P16-ANNOTATION-STABILITY,CLOSED,high,annotation,"Stable displayIndex and layout identity survive hidden/restored 2, reorder, 90-degree projection rotation, overlay rebuild, corners and digit-width changes","logs/p16/annotation/p16_stable_number_coordinates.txt"
P16-UI-SMOKE,CLOSED,medium,ui,"P15 target selector remains visible by default; civil 0x55 selection, INIT freeze, RESET unlock and reopen pass after P16","logs/p16/ui_smoke/p16_ui_smoke_final.json"
P16-UI-SMOKE-BAD-CONFIG,HISTORICAL_FAILED_RECOVERED,low,test-invocation,"First short UI regression used build-directory config so derived LUT manifest was absent and INIT correctly refused; rerun with DataDrivenTestQT/NetworkConfig.ini passed","Failure retained in task output; final evidence logs/p16/ui_smoke/p16_ui_smoke_final.json"
P16-FLICKER-READONLY,NO_REPRODUCER,high,evidence,"Existing P15 ordinary target is at most 9x9 pixels and P14 candidates cannot exclude motion, subpixel sampling or H264; no aligned pre-encode raw exists","logs/p16/flicker_audit/p16_flicker_audit.json"
P16-MODEL-COLOR-SAMPLING,MITIGATED_NEEDS_ORDINARY_CONFIRMATION,high,production-render,"Actual model loader now generates mipmaps and uses trilinear minification, linear magnification and anisotropy 4; controlled F22 motion temporal MAD reduced 11.181 percent","logs/p16/production_effects/model_flicker/comparison.json"
P16-MODEL-ID-SAMPLING,CLOSED_CONTROLLED,high,production-render,"Categorical R8 material IDs use deterministic 2x2 mode mipmaps with nearest-mipmap-nearest; material control decoded sequences remain exactly unchanged","logs/p16/production_effects/model_flicker/comparison.json"
P16-MODEL-ASSET-INTEGRITY,CLOSED,high,asset-protection,"No tracked or untracked write exists under Config/TargetLib/models and no model was hidden, renamed or re-exported","git diff/status for HwaSim_IR/Bin/Config/TargetLib/models is empty"
P16-MODEL-FLICKER-ORDINARY,OPEN,high,user-feedback,"Generic sampling mitigation is deployed but the user's exact ordinary-entry flicker has no repeatable same-source before/after reproducer","Capture current ordinary entry with resolvable target plus aligned raw/encoded frame identity"
P16-PLUME-DRAW-ORDER,CLOSED_CONTROLLED,high,production-render,"Equal-depth halo/core transparent ordering was unstable; production now draws fixed halo70 then core71 with depth test retained","logs/p16/production_effects/runs/p16_final_mwir_plume_on_effects7/board.log"
P16-PLUME-SIGNED-RAW,CLOSED_CONTROLLED,high,production-evidence,"Generic-nozzle seq900 core ROI On-minus-Off signed mean is +0.130685 W/(m2 sr um); broad cold smoke remains negative and is not hidden","logs/p16/production_effects/raw_qc/plume_mwir_effects7/seq900_signed_raw_qc.json"
P15-ORDINARY-PLUME,REOPENED,high,user-feedback,"Controlled production renderer fixture passes but no current evidence comes from the user's exact ordinary window entry","Run same deployed ELF/config through current user entry and retain window plus raw/frame identity"
P16-WEATHER-TEXTURE-BINDING,CLOSED_CONTROLLED,high,production-render,"Cloud/rain/snow and plume halo resolve Weather resources; local and RK3588 texture hashes match","docs/HwaSimIR_P16_Closeout.md section 2.2"
P16-WEATHER-DRAW-REGION,CLOSED_CONTROLLED,high,production-render,"Stage7 volume region now remains active for precipitation without visible cloud volumes, restoring actual Batch submission","logs/p16/production_effects/raw_qc/mwir_rain_effects7/seq900_signed_raw_qc.json"
P16-WEATHER-TIME,CLOSED,high,production-render,"Epoch protocol time is generation-relative before float upload; INIT sourceSeq0 cannot commit origin and seq2 elapsed is 0.0166669 s","logs/p16/production_effects/runs/p16_final_mwir_rain_effects7/board.log"
P16-WEATHER-SOURCE,CLOSED_CONTROLLED,high,production-render,"Rain/snow use local hydrometeor Planck source at current ambient or capped snow temperature; no gain, forced white, tau=1 or missing-data zero fill","logs/p16/production_effects/runs/p16_final_mwir_snow_effects7/board.log"
P16-WEATHER-CLOUD-ORIGINAL,CLOSED_CONTROLLED,high,production-evidence,"Immutable original 1.txt Cloudy replay loads cloud_scattered texture and reaches visibleCloudVolumes=2; 4318/4318 MP4 and signed raw structure retained","logs/p16/production_effects/runs/p16_final_mwir_cloud_original_effects7"
P15-ORDINARY-WEATHER,REOPENED_PARTIAL,high,user-feedback,"Production draw and signed contributions pass; snow is visible, but rain still-frame and original-cloud fixed-map contrast are subtle and no current user-entry acceptance exists","Use current ordinary window to review continuous rain/cloud motion; do not close from controlled/raw evidence alone"
