id,status,severity,scope,summary,evidence_or_next_action
P14-A-ORIGIN,CLOSED,high,origin,"INIT temporary reference no longer commits formal origin; first valid realtime platform position commits once per generation","logs/p14/p14_first_valid_fixture_final5_mwir_check.json"
P14-A-VIEWVALID,CLOSED,high,input,"Position validity separated from ViewValid; original rows 1-659 remain accepted and hidden","logs/p14/original_input_audit_final/input_1_audit.json"
P14-A-UI,CLOSED,medium,ui,"Target selector is name plus real protocol code QComboBox; INIT freeze verified by actual Qt clicks","logs/p14/ui/target_type_click.json"
P14-B-PLUME-GATE,CLOSED,high,plume,"Historical formalTauReady=0 invisibility reproduced; fail-closed preserved and valid-data initialization repaired","logs/p12/p12a/ordinary-mixed-rk-20260917-200737/board_hwa.log"
P14-B-SPRITE-SI,CLOSED,high,plume,"Actual priority-100 external sprite shader no longer clamps SI to 0-1 or reapplies legacy fog","HwaSim_IR/Bin/Config/GameVFX/sprite.frag"
P14-B-SIGNED-RAW,CLOSED,high,plume,"Signed On-Off raw contribution is positive; absolute difference is not used as proof","logs/p14/plume_signed_raw_qc_final4/plume_signed_raw_qc.json"
P14-B-WEATHER,CLOSED,high,weather,"World cloud and Batch rain/snow preserved; formal SI precipitation/background composition verified in final-version media","logs/p14/images_final/weather_received_2band.png"
P14-C-DATA,CLOSED,high,atmosphere,"720 licensed P14 MODTRAN runs add 336 complete rows; original track and declared 50 km cells pass no-clamp production queries","HwaSim_IR/Bin/Config/Atmosphere/MODTRAN/processed/p14_coverage_manifest.json"
P14-C-CAL,OPEN,high,calibration,"Generic material, atmosphere and sensor chain is not real-world calibrated","Keep NOT_VERIFIED_CALIBRATION until independent calibration campaign"
P14-C-DOMAIN,OPEN,medium,coverage,"High-altitude support is discrete measured cells plus in-cell interpolation, not a generic all-weather 3-20 km Cartesian domain","Expand with licensed measured cells before broadening claim"
P14-D-MEDIA,CLOSED,high,delivery,"Two original replays, eight mixed-weather videos, 300 s run, boundary clips and plume On/Off are final-version playable MP4","deliverables/HwaSimIR_P14_Delivery/index.html"
P14-D-PERF,CLOSED,high,board-performance,"Final SWIR/MWIR cold and steady board accepted-to-writer latency have zero samples over 80 ms; 300 s also passes","logs/p14/runs/p14_final4_mwir_snow_300s/performance.json"
P14-D-QT-PAINT,OPEN,medium,windows-gui,"Qt paint tails reach 133.383 ms in original MWIR and 316.011 ms in 300 s; reported separately from board gate","Profile Windows compositor/paint scheduling if a GUI-tail SLA is required"
P14-D-MP4-TIME,CLOSED,low,media,"Decode-to-null-mux warnings were traced to output-timebase quantization; all 15 source MP4 packet PTS/DTS are strictly increasing and rawvideo full decode returns 0","Delivery manifest records packet counts, zero duplicates/regressions and clean decode"
P14-D-ROLLBACK-1,HISTORICAL_FAILED_RECOVERED,medium,rollback,"First copy-based rollback attempt exhausted board filesystem; recovery trap restored final version and partial duplicate was removed","Do not count as PASS; use atomic same-filesystem rename"
P14-D-ROLLBACK-2,CLOSED,high,rollback,"Atomic rollback and final restore both pass version, startup, GPU, DDS and atmosphere identity checks","logs/p14/rollback_final2/p14rb-20260921-final2/rollback_receipt.json"
